EBC_MEAN,EBC_STD,EBC_AUC,CVD_SRF,BWMEAN,BWSD,CENTROID,CENTSD,SVDU,SVDV,SVDU1,SVDV1,SVDU2,SVDV2,STDU,STDV,STDU1,STDV1,STDU2,STDV2,Target
1.98E-12,255.4075089,276.7390508,-0.050050251,69.99048765,0.741406708,-5.050183376,4.214117668,-0.139235051,-0.031652131,-0.000601694,-3.34E-05,0.008722317,-0.001096423,0.015029062,0.001469977,0.141420051,0.031702114,0.141146731,0.031683147,1
1.39E-11,230.1915511,85.84766837,-0.050050251,69.87871724,0.680195477,-5.313581827,3.999513171,-0.139150554,-0.031658903,0.000104388,0.000268183,0.010506755,-0.000699658,0.01580714,0.001315918,0.141421317,0.031700996,0.141022694,0.031694402,1
3.22E-12,254.1036094,-67.01773674,-0.050050251,70.08527622,0.759221065,-5.613205097,4.504910639,-0.13929079,-0.031652641,0.000343576,0.000242939,-0.009692695,0.000943595,0.014492663,0.001458952,0.141420931,0.031701199,0.141082149,0.031688071,1
3.43E-12,266.6264861,266.9255723,-0.050050251,70.28903668,0.843906482,-5.721541589,4.74067773,-0.139384133,-0.031649553,-0.001139824,-0.00029134,0.009064224,-0.000955937,0.013546389,0.001524537,0.141416671,0.031700791,0.141124756,0.031687701,1
7.59E-12,281.5739433,-53.91939981,-0.050050251,70.16514063,0.978640667,-5.984135695,4.620336523,-0.139333975,-0.03164466,0.000782044,0.000372244,-0.009474331,0.001311866,0.01406287,0.001623022,0.141419151,0.031699944,0.141097278,0.031674949,1
2.72E-12,254.1174974,218.3513165,-0.050050251,69.90320598,0.824399964,-6.210630788,4.040962096,-0.139159014,-0.031650757,-0.000675658,-0.000646598,0.009402907,-0.000765291,0.015730994,0.001499301,0.14141971,0.03169553,0.141102151,0.031692884,1
-5.70E-12,246.7736138,-78.7839012,-0.050050251,70.04531856,0.832802788,-5.711591934,4.264936128,-0.139256072,-0.031654465,-0.000779546,0.000481255,0.008881004,-0.000897053,0.014829068,0.001418787,0.141419165,0.031698475,0.141136637,0.031689424,1
-5.58E-12,271.7504758,339.0070758,-0.050050251,70.05972794,0.837302348,-5.097012277,4.408580435,-0.139263944,-0.031648326,-0.000883114,0.000485118,0.010257498,-0.000951703,0.014753475,0.001549822,0.141418544,0.031698416,0.14104141,0.031687829,1
-3.00E-12,252.2099751,356.1577653,-0.050050251,70.02897512,0.853105579,-5.791655509,4.359798136,-0.139248765,-0.031652765,-0.000557986,0.000852465,0.011103532,-0.000705284,0.014898895,0.001456259,0.141420233,0.031690656,0.140976047,0.031694277,1
2.53E-12,259.9985836,120.3956673,-0.050050251,69.84264316,0.794027003,-5.808213614,4.097936599,-0.139149455,-0.031649641,-7.39E-05,-0.000919653,-0.01193218,0.000685626,0.015817006,0.001522702,0.141421337,0.031688776,0.140906975,0.031694709,1
3.05E-12,291.5293277,203.723022,-0.050050251,69.97280992,0.769338582,-5.67125839,4.220535447,-0.139206153,-0.031640518,-0.001230815,0.000844663,-0.009490459,0.000905225,0.015299671,0.001701939,0.141415893,0.031690865,0.141096172,0.031689192,1
-3.68E-12,384.6638545,124.5618368,-0.050050251,69.84612847,0.713502267,-4.975882281,3.739894881,-0.139097879,-0.031603085,-0.001516696,0.00059041,0.010598327,-0.001425551,0.016273159,0.002294853,0.14141306,0.031696627,0.141015705,0.031670031,1
4.55E-12,287.5610342,120.7871944,-0.050050251,69.98974989,0.846381119,-5.173038098,4.303509759,-0.13923096,-0.031642921,-0.002699881,0.000677829,0.009713772,-0.000943095,0.015067665,0.001656616,0.141395067,0.031694877,0.14108067,0.031688086,1
-6.46E-12,295.7556532,20.26600091,-0.050050251,69.83349559,0.705251848,-4.830664009,3.626441705,-0.139088285,-0.031640444,-0.001621916,0.000232725,0.01074607,-0.001090067,0.01635659,0.001703306,0.141411869,0.031701276,0.141004299,0.031683366,1
